Painter,Number,Shape,Lat,Lon
Achilles Painter,201,white lekythos,35.037245,32.436032
Achilles Painter,202,white lekythos,37.9728191495,23.7237438519
Achilles Painter,205,white lekythos,37.9728191495,23.7237438519
Achilles Painter,1(1),Amphora,42.419009,11.6298975
Achilles Painter,4(4),Neck-Amphora,42.419009,11.6298975
Achilles Painter,5(5),Neck-Amphora,42.419009,11.6298975
Achilles Painter,7(6),Neck-Amphora,40.926823,14.524545
Achilles Painter,9(8),Neck-Amphora,40.926823,14.524545
Achilles Painter,11(14),Neck-Amphora,40.926823,14.524545
Achilles Painter,12(10),Neck-Amphora,40.926823,14.524545
Achilles Painter,15(13),Neck-Amphora,40.926823,14.524545
Achilles Painter,17(15),Neck-Amphora,40.926823,14.524545
Achilles Painter,20(18),Neck-Amphora,40.926823,14.524545
Achilles Painter,21,Neck-Amphora,40.9900604421,14.3986099472
Achilles Painter,25(21),Neck-Amphora,40.926823,14.524545
Achilles Painter,28(24),Neck-Amphora,40.926823,14.524545
Achilles Painter,29(25),Neck-Amphora,40.926823,14.524545
Achilles Painter,30(26),Neck-Amphora,40.926823,14.524545
Achilles Painter,31(27),Neck-Amphora,40.926823,14.524545
Achilles Painter,33(29),Neck-Amphora,40.926823,14.524545
Achilles Painter,53,Krater,44.697575,12.108186
Achilles Painter,59,Krater,40.9900604421,14.3986099472
Achilles Painter,62,Krater,44.4945737,11.3455467
Achilles Painter,65,Stamnoi,42.419009,11.6298975
Achilles Painter,67,Stamnoi,42.419009,11.6298975
Achilles Painter,69,Dinos,42.419009,11.6298975
Achilles Painter,76,Oinochoai(Shape 2-high handle),42.419009,11.6298975
Achilles Painter,77,Oinochoai(Shape 2-high handle),42.419009,11.6298975
Achilles Painter,78,Oinochoai(Shape 3-chous),37.9728191495,23.7237438519
Achilles Painter,82,Lekythoi,35.037245,32.436032
Achilles Painter,89,Lekythoi,37.9728191495,23.7237438519
Achilles Painter,104,Classic Pot,37.9728191495,23.7237438519
Achilles Painter,115,Classic Pot,37.9728191495,23.7237438519
Achilles Painter,123 (99),Squat Lekythos,37.9728191495,23.7237438519
Achilles Painter,107,,37.9728191495,23.7237438519
Achilles Painter,110,,37.9728191495,23.7237438519
